review_id,text_length,word_count,sentence_count,char_count,avg_word_length,punct_count,upper_count,digit_count,stopword_ratio,exclamation_count,question_count,positive_word_count,negative_word_count,neutral_word_count,num_aspects,num_unique_aspects,aspect_diversity,aspect_Chất lượng sản phẩm_count,aspect_Dịch vụ_count,aspect_Khác_count,aspect_Giá cả_count,positive_aspects,negative_aspects,sentiment_ratio,sentiment_balance,first_aspect_position,last_aspect_position,aspect_span_coverage,num_dates_mentioned,mentions_delivery_time,mentions_price,mentions_quantity,num_numbers,max_number,min_number,brand_mentions,adj_count,verb_count,noun_count,avg_sentence_length,sentence_length_std,complex_sentence_ratio,max_word_freq,repeated_words_count,repetition_ratio
0,561.0,130.0,9.0,432.0,3.3230769230769233,14.0,15.0,37.0,0.2846153846153846,0.0,0.0,5.0,0.0,1.0,6.0,2.0,0.3333333333333333,5.0,1.0,0.0,0.0,4.0,2.0,0.3333333333333333,0.5,0.24955436720142601,0.732620320855615,0.483065953654189,4.0,1.0,1.0,1.0,12.0,7032023.0,0.0,1.0,5.0,5.0,8.0,14.444444444444445,10.339902332561637,0.3,4.0,14.0,0.27692307692307694
1,336.0,75.0,6.0,262.0,3.493333333333333,10.0,8.0,3.0,0.38666666666666666,0.0,1.0,1.0,0.0,0.0,7.0,3.0,0.42857142857142855,2.0,3.0,2.0,0.0,6.0,1.0,0.7142857142857143,0.16666666666666666,0.08333333333333333,0.5982142857142857,0.5148809523809523,0.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,1.0,12.5,5.560275772537426,0.3333333333333333,3.0,10.0,0.30666666666666664
2,249.0,60.0,0.0,190.0,3.1666666666666665,3.0,1.0,4.0,0.36666666666666664,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.3333333333333333,3.0,0.0,0.0,0.0,1.0,2.0,-0.3333333333333333,0.5,0.05220883534136546,0.6506024096385542,0.5983935742971888,0.0,0.0,0.0,1.0,3.0,12.0,1.0,0.0,1.0,1.0,0.0,60.0,0.0,1.0,2.0,4.0,0.13333333333333333
3,502.0,115.0,2.0,388.0,3.373913043478261,8.0,2.0,2.0,0.40869565217391307,0.0,2.0,1.0,2.0,1.0,5.0,4.0,0.8,2.0,1.0,1.0,1.0,0.0,5.0,-1.0,0.0,0.12350597609561753,0.7828685258964143,0.6593625498007968,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,115.0,0.0,1.0,7.0,20.0,0.46956521739130436
4,282.0,60.0,3.0,223.0,3.716666666666667,6.0,8.0,0.0,0.31666666666666665,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.6,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.8581560283687943,0.8581560283687943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,15.0,5.522680508593631,0.5,5.0,5.0,0.21666666666666667
5,334.0,75.0,4.0,260.0,3.466666666666667,8.0,4.0,3.0,0.30666666666666664,0.0,0.0,1.0,0.0,2.0,4.0,3.0,0.75,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5538922155688623,0.5538922155688623,0.0,1.0,0.0,0.0,2.0,99.0,9.0,0.0,0.0,1.0,1.0,18.75,6.219927652312364,0.6,3.0,6.0,0.18666666666666668
6,347.0,75.0,6.0,273.0,3.64,10.0,7.0,1.0,0.36,0.0,1.0,1.0,0.0,1.0,5.0,2.0,0.4,3.0,2.0,0.0,0.0,4.0,1.0,0.6,0.25,0.0,0.7780979827089337,0.7780979827089337,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,15.0,10.807404868885037,0.3333333333333333,2.0,5.0,0.13333333333333333
7,116.0,23.0,2.0,94.0,4.086956521739131,5.0,4.0,0.0,0.2608695652173913,0.0,0.0,3.0,0.0,1.0,4.0,2.0,0.5,3.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.6810344827586207,0.6810344827586207,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.5,3.5,0.0,1.0,0.0,0.0
8,408.0,97.0,3.0,312.0,3.216494845360825,6.0,0.0,1.0,0.422680412371134,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.2,5.0,0.0,0.0,0.0,4.0,1.0,0.6,0.25,0.19607843137254902,0.6544117647058824,0.4583333333333333,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,24.25,7.119515432949071,0.75,5.0,15.0,0.4020618556701031
9,142.0,34.0,0.0,109.0,3.2058823529411766,3.0,2.0,0.0,0.3235294117647059,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,3.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.704225352112676,0.704225352112676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,0.0,1.0,3.0,2.0,0.14705882352941177
10,237.0,50.0,2.0,188.0,3.76,5.0,4.0,3.0,0.36,1.0,0.0,2.0,0.0,2.0,3.0,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.8059071729957806,0.8059071729957806,0.0,1.0,1.0,0.0,2.0,30.0,8.0,1.0,1.0,3.0,3.0,25.0,4.0,1.0,2.0,2.0,0.08
11,181.0,41.0,2.0,141.0,3.4390243902439024,6.0,3.0,0.0,0.21951219512195122,0.0,0.0,3.0,0.0,0.0,7.0,2.0,0.2857142857142857,6.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.9779005524861878,0.9779005524861878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.666666666666666,11.614167593456232,0.3333333333333333,3.0,2.0,0.12195121951219512
12,366.0,81.0,5.0,286.0,3.5308641975308643,11.0,2.0,2.0,0.2222222222222222,0.0,0.0,5.0,0.0,0.0,8.0,4.0,0.5,5.0,1.0,1.0,1.0,5.0,2.0,0.42857142857142855,0.4,0.0,0.8415300546448088,0.8415300546448088,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,16.4,7.49933330370107,0.3333333333333333,2.0,10.0,0.24691358024691357
